geometry,leisure,name_left,name:ca_left,note,name:es_left,operator,operator:type,name:etymology:wikidata,wikidata_left,wikipedia_left,alt_name_left,opening_hours,tourism,addr:city,addr:postcode,addr:street,alt_name:ca_left,alt_name:es,nohousenumber,old_name_left,phone,source_left,wikimedia_commons,dog,smoking,loc_name,access,loc_name:ca,loc_name:es,lit,surface,addr:housenumber,old_name:es,name:sr,place,foot,designation,name:etymology,source:date,natural,garden:type,description,noname,building,fee,parking,landuse,type_left,amenity,centroid,coords,element_right,id_right,admin_level,boundary,source_right,Barrio,name:ca_right,name:es_right,type_right,wikidata_right,wikipedia_right,ref,alt_name_right,old_name_right,alt_name:ca_right
POINT (-0.3691483365938182 39.49312112582345),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3691483365938182 39.49312112582345),"(39.49312112582345, -0.3691483365938182)",relation,14728079.0,10,administrative,,els Orriols,els Orriols,,boundary,Q8775138,ca:Els Orriols,,,,
POINT (-0.3707570350169568 39.491730580963164),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3707570350169568 39.491730580963164),"(39.491730580963164, -0.37075703501695684)",relation,14728079.0,10,administrative,,els Orriols,els Orriols,,boundary,Q8775138,ca:Els Orriols,,,,
POINT (-0.3703115644602989 39.49255995483231),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3703115644602989 39.49255995483231),"(39.49255995483231, -0.3703115644602989)",relation,14728079.0,10,administrative,,els Orriols,els Orriols,,boundary,Q8775138,ca:Els Orriols,,,,
POINT (-0.3690970340788363 39.4899079897714),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3690970340788363 39.4899079897714),"(39.4899079897714, -0.3690970340788363)",relation,14728079.0,10,administrative,,els Orriols,els Orriols,,boundary,Q8775138,ca:Els Orriols,,,,
POINT (-0.3694339646715922 39.491613457437275),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3694339646715922 39.491613457437275),"(39.491613457437275, -0.3694339646715922)",relation,14728079.0,10,administrative,,els Orriols,els Orriols,,boundary,Q8775138,ca:Els Orriols,,,,
POINT (-0.3698756403720124 39.49125895358572),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3698756403720124 39.49125895358572),"(39.49125895358572, -0.36987564037201237)",relation,14728079.0,10,administrative,,els Orriols,els Orriols,,boundary,Q8775138,ca:Els Orriols,,,,
POINT (-0.3703573642347192 39.49086469299261),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3703573642347192 39.49086469299261),"(39.49086469299261, -0.37035736423471916)",relation,14728079.0,10,administrative,,els Orriols,els Orriols,,boundary,Q8775138,ca:Els Orriols,,,,
POINT (-0.3676911088907974 39.4934253064116),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3676911088907974 39.4934253064116),"(39.4934253064116, -0.3676911088907974)",relation,14728079.0,10,administrative,,els Orriols,els Orriols,,boundary,Q8775138,ca:Els Orriols,,,,
POINT (-0.3691051534443022 39.49665845496403),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3691051534443022 39.49665845496403),"(39.49665845496403, -0.3691051534443022)",relation,14728079.0,10,administrative,,els Orriols,els Orriols,,boundary,Q8775138,ca:Els Orriols,,,,
POINT (-0.3797465035722999 39.488875082069356),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3797465035722999 39.488875082069356),"(39.488875082069356, -0.37974650357229994)",relation,14731119.0,10,administrative,,Tormos,Tormos,,boundary,Q9088545,ca:Tormos (barri de València),,,,
